Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
399,"A Agache, M Brooker, A Iordache, A Liguori…","Firecracker: Lightweight virtualization for serverless applications",2020,"… USENIX symposium on …","usenix.org","https://www.usenix.org/conference/nsdi20/presentation/agache","https://scholar.google.com/scholar?cites=15191904600457823957&as_sdt=2005&sciodt=0,5&hl=en",26,"2023-11-04 14:24:16","","","","",,,,,399,133.00,80,5,3,"… (VMM) specialized for serverless workloads, but generally … in two publically-available serverless compute services at Ama… We describe how specializing for serverless informed the …","https://www.usenix.org/system/files/nsdi20-paper-agache.pdf","https://scholar.google.com/scholar?q=related:1Ubpc7581NIJ:scholar.google.com/&scioq=serverless&hl=en&as_sdt=0,5&as_vis=1"
12,"A Ali, R Pinciroli, F Yan, E Smirni","Optimizing inference serving on serverless platforms",2022,"Proceedings of the VLDB Endowment","par.nsf.gov","https://par.nsf.gov/biblio/10376913","https://scholar.google.com/scholar?cites=16597998141474692878&as_sdt=2005&sciodt=0,5&hl=en",188,"2023-11-04 14:24:16","","","","",,,,,12,12.00,3,4,1,"… options, and serverless can result in high monetary cost [81]. Serverless is gaining popularity … function, and the memory capacity of the serverless instance. The computing capacity and …","https://par.nsf.gov/servlets/purl/10376913","https://scholar.google.com/scholar?q=related:Dl8xpV7vV-YJ:scholar.google.com/&scioq=serverless&hl=en&as_sdt=0,5&as_vis=1"
98,"A Ali, R Pinciroli, F Yan, E Smirni","Batch: machine learning inference serving on serverless platforms with adaptive batching",2020,"… International Conference for …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9355312/","https://scholar.google.com/scholar?cites=6304874230595674818&as_sdt=2005&sciodt=0,5&hl=en",245,"2023-11-04 14:24:16","","","","",,,,,98,32.67,25,4,3,"… supported by existing serverless platforms due to … of serverless computing. In this paper, we present BATCH, a framework for supporting efficient machine learning serving on serverless …","https://par.nsf.gov/servlets/purl/10206149","https://scholar.google.com/scholar?q=related:wmIrRLVpf1cJ:scholar.google.com/&scioq=serverless&hl=en&as_sdt=0,5&as_vis=1"
7,"A Ali, S Zawad, P Aditya, IE Akkus, R Chen…","Smlt: A serverless framework for scalable and adaptive machine learning design and training",2022,"arXiv preprint arXiv …","arxiv.org","https://arxiv.org/abs/2205.01853","https://scholar.google.com/scholar?cites=16489991392940890630&as_sdt=2005&sciodt=0,5&hl=en",426,"2023-11-04 14:24:16","","","","",,,,,7,7.00,1,6,1,"… Serverless computing is an emerging cloud paradigm that … However, hosting modern ML workflows on existing serverless … , scalable, and adaptive serverless framework to enable …","https://arxiv.org/pdf/2205.01853","https://scholar.google.com/scholar?q=related:Bpp93c032OQJ:scholar.google.com/&scioq=serverless&hl=en&as_sdt=0,5&as_vis=1"
19,"A Arjona, PG López, J Sampé, A Slominski…","Triggerflow: Trigger-based orchestration of serverless workflows",2021,"Future Generation …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0167739X21001989","https://scholar.google.com/scholar?cites=3290653214236620720&as_sdt=2005&sciodt=0,5&hl=en",277,"2023-11-04 14:24:16","HTML","","","",,,,,19,9.50,4,5,2,"… We present Triggerflow: an extensible Trigger-based Orchestration architecture for serverless workflows. We demonstrate that Triggerflow is a novel serverless building block capable of …","https://www.sciencedirect.com/science/article/pii/S0167739X21001989","https://scholar.google.com/scholar?q=related:sDeS6am_qi0J:scholar.google.com/&scioq=serverless&hl=en&as_sdt=0,5&as_vis=1"
47,"A Aske, X Zhao","Supporting multi-provider serverless computing on the edge",2018,"Workshop Proceedings of the 47th International …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3229710.3229742","https://scholar.google.com/scholar?cites=13456941884193978760&as_sdt=2005&sciodt=0,5&hl=en",124,"2023-11-04 14:24:16","","10.1145/3229710.3229742","","",,,,,47,9.40,24,2,5,"… Serverless technology becomes more and more popular with new providers emerging … with interconnecting serverless providers, Serverless Framework, and Event Gateway. Serverless …","","https://scholar.google.com/scholar?q=related:iDl1glipwLoJ:scholar.google.com/&scioq=serverless&hl=en&as_sdt=0,5&as_vis=1"
7,"A Barrak, F Petrillo, F Jaafar","Serverless on Machine Learning: A systematic mapping study",2022,"IEEE Access","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9888122/","https://scholar.google.com/scholar?cites=14663365125502070010&as_sdt=2005&sciodt=0,5&hl=en",351,"2023-11-04 14:24:16","","","","",,,,,7,7.00,2,3,1,"… that serverless computing provides to machine learning. Our results show that serverless … In addition, we found that the most widely used serverless provider is AWS Lambda, where …","https://ieeexplore.ieee.org/iel7/6287639/6514899/09888122.pdf","https://scholar.google.com/scholar?q=related:-uxmTeS8fssJ:scholar.google.com/&scioq=serverless&hl=en&as_sdt=0,5&as_vis=1"
1,"A Barral, R Trabelsi, F Jaafar, F Petrillo","Exploring the Impact of Serverless Computing on Peer To Peer Training Machine Learning",2023,"arXiv preprint arXiv:2309.14139","arxiv.org","https://arxiv.org/abs/2309.14139","https://scholar.google.com/scholar?cites=17605466974197034585&as_sdt=2005&sciodt=0,5&hl=en",418,"2023-11-04 14:24:16","","","","",,,,,1,1.00,0,4,1,"… novel architecture that combines serverless computing with P2P … As for costs, our examination confirmed that the serverless … Despite the cost-time trade-off, the serverless approach still …","https://arxiv.org/pdf/2309.14139",""
66,"A Bhattacharjee, AD Chhokra, Z Kang…","Barista: Efficient and scalable serverless serving system for deep learning prediction services",2019,"2019 IEEE …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8790088/","https://scholar.google.com/scholar?cites=11630462100977327740&as_sdt=2005&sciodt=0,5&hl=en",227,"2023-11-04 14:24:16","","","","",,,,,66,16.50,17,4,4,"… We show how serverless computing concepts for dynamically scaling the resources vertically and horizontally can be utilized under different scenarios. Barista efficiently and cost…","https://arxiv.org/pdf/1904.01576","https://scholar.google.com/scholar?q=related:fJ5l9qizZ6EJ:scholar.google.com/&scioq=serverless&hl=en&as_sdt=0,5&as_vis=1"
35,"A Bhattacharjee, Y Barve, S Khare, S Bao…","Stratum: A serverless framework for the lifecycle management of machine learning-based data analytics tasks",2019,"… USENIX Conference on …","usenix.org","https://www.usenix.org/conference/opml19/presentation/bhattacharjee","https://scholar.google.com/scholar?cites=11652999092360165932&as_sdt=2005&sciodt=0,5&hl=en",471,"2023-11-04 14:24:16","","","","",,,,,35,8.75,7,5,4,"… To address these challenges, we propose an end-to-end data analytics, a serverless platform called Stratum. Stratum can deploy, schedule and dynamically manage data ingestion …","https://www.usenix.org/system/files/opml19papers-bhattacharjee.pdf","https://scholar.google.com/scholar?q=related:LLoTLO_Et6EJ:scholar.google.com/&scioq=serverless&hl=en&as_sdt=0,5&as_vis=1"
